rdfid,topic_name,Title,Direction,Weight
jvariables1,Variables,AddExpression,1,1
jvariables1,Variables,SimpleAssignmentExpression,1,2
jvariables1,Variables,IntDataType,1,1
jvariables1,Variables,SubtractExpression,1,1
jvariables1,Variables,ExpressionStatement,1,1
jvariables1,Variables,VariableInitializationStatement,1,1
jvariables1,Variables,SimpleVariable,1,1
jvariables2,Variables,MultiplyExpression,1,1
jvariables2,Variables,AddExpression,1,1
jvariables2,Variables,SimpleAssignmentExpression,1,2
jvariables2,Variables,IntDataType,1,2
jvariables2,Variables,VariableInitializationStatement,1,2
jvariables2,Variables,SimpleVariable,1,2
jprint_var,Variables,SimpleVariable,1,1
jprint_var,Variables,SimpleAssignmentExpression,1,1
jprint_var,Variables,IntDataType,1,1
jprint_var,Variables,VariableInitializationStatement,1,1
jprint_var,Variables,java.lang.System.out.print,1,1
jprint_var_express,Variables,SimpleVariable,1,2
jprint_var_express,Variables,SimpleAssignmentExpression,1,2
jprint_var_express,Variables,IntDataType,1,2
jprint_var_express,Variables,SubtractExpression,1,1
jprint_var_express,Variables,VariableInitializationStatement,1,2
jprint_var_express,Variables,java.lang.System.out.print,1,1
jprint_var_express,Variables,DivideExpression,1,1
jprint_var_express2,Variables,StringVariable,1,1
jprint_var_express2,Variables,StringLiteral,1,1
jprint_var_express2,Variables,SimpleAssignmentExpression,1,1
jprint_var_express2,Variables,StringDataType,1,1
jprint_var_express2,Variables,StringInitializationStatement,1,1
jprint_var_express2,Variables,java.lang.System.out.print,1,1
jinteger1,Primitive_Data_Types,DivideExpression,0,1
jinteger1,Primitive_Data_Types,MultiplyExpression,0,1
jinteger1,Primitive_Data_Types,VariableInitializationStatement,0,1
jinteger1,Primitive_Data_Types,SimpleAssignmentExpression,0,1
jinteger1,Primitive_Data_Types,IntDataType,0,1
jinteger1,Primitive_Data_Types,SimpleVariable,0,1
jinteger1,Primitive_Data_Types,SubtractExpression,0,2
jdouble1,Primitive_Data_Types,SimpleVariable,0,2
jdouble1,Primitive_Data_Types,VariableInitializationStatement,0,2
jdouble1,Primitive_Data_Types,SimpleAssignmentExpression,0,1
jdouble1,Primitive_Data_Types,DoubleDataType,0,1
jdouble1,Primitive_Data_Types,AddExpression,0,1
jdouble1,Primitive_Data_Types,IntDataType,0,1
jdouble1,Primitive_Data_Types,ExplicitTypeCasting,1,1
jint_long,Primitive_Data_Types,SimpleVariable,0,2
jint_long,Primitive_Data_Types,VariableInitializationStatement,0,2
jint_long,Primitive_Data_Types,SimpleAssignmentExpression,0,2
jint_long,Primitive_Data_Types,DoubleDataType,0,1
jint_long,Primitive_Data_Types,IntDataType,0,1
jint_long,Primitive_Data_Types,ExplicitTypeCasting,1,1
jint_long,Primitive_Data_Types,java.lang.Math.round,1,1
jpri_float,Primitive_Data_Types,SimpleVariable,0,1
jpri_float,Primitive_Data_Types,VariableInitializationStatement,0,1
jpri_float,Primitive_Data_Types,SimpleAssignmentExpression,0,1
jpri_float,Primitive_Data_Types,AddExpression,0,1
jpri_float,Primitive_Data_Types,FloatDataType,1,1
jpri_float,Primitive_Data_Types,ExplicitTypeCasting,1,1
jstring_int,Primitive_Data_Types,AddExpression,0,1
jstring_int,Primitive_Data_Types,StringInitializationStatement,0,1
jstring_int,Primitive_Data_Types,IntDataType,0,1
jstring_int,Primitive_Data_Types,SimpleVariable,0,1
jstring_int,Primitive_Data_Types,StringVariable,0,1
jstring_int,Primitive_Data_Types,StringLiteral,0,1
jstring_int,Primitive_Data_Types,VariableInitializationStatement,0,1
jstring_int,Primitive_Data_Types,SimpleAssignmentExpression,0,2
jstring_int,Primitive_Data_Types,StringDataType,0,1
jstring_int,Primitive_Data_Types,java.lang.Integer.parseInt,1,1
jstring_double,Primitive_Data_Types,DoubleDataType,0,1
jstring_double,Primitive_Data_Types,StringInitializationStatement,0,1
jstring_double,Primitive_Data_Types,SimpleVariable,0,1
jstring_double,Primitive_Data_Types,StringVariable,0,1
jstring_double,Primitive_Data_Types,StringLiteral,0,1
jstring_double,Primitive_Data_Types,VariableInitializationStatement,0,1
jstring_double,Primitive_Data_Types,SimpleAssignmentExpression,0,2
jstring_double,Primitive_Data_Types,StringDataType,0,1
jstring_double,Primitive_Data_Types,java.lang.Double.parseDouble,1,1
jConstants1,Constants,VariableInitializationStatement,0,1
jConstants1,Constants,SimpleAssignmentExpression,0,3
jConstants1,Constants,DoubleDataType,0,2
jConstants1,Constants,DivideExpression,0,1
jConstants1,Constants,IntDataType,0,1
jConstants1,Constants,SimpleVariable,0,1
jConstants1,Constants,ConstantInitializationStatement,1,2
jConstants1,Constants,Constant,1,2
jConstants2,Constants,VariableInitializationStatement,0,2
jConstants2,Constants,SimpleAssignmentExpression,0,3
jConstants2,Constants,DoubleDataType,0,2
jConstants2,Constants,IntDataType,0,1
jConstants2,Constants,MultiplyExpression,0,1
jConstants2,Constants,SimpleVariable,0,2
jConstants2,Constants,ConstantInitializationStatement,1,1
jConstants2,Constants,Constant,1,1
jConstants3,Constants,AddExpression,0,1
jConstants3,Constants,SimpleAssignmentExpression,0,1
jConstants3,Constants,IntDataType,0,1
jConstants3,Constants,SimpleVariable,0,1
jConstants3,Constants,VariableInitializationStatement,0,1
jConstants3,Constants,ExplicitTypeCasting,0,1
jConstants3,Constants,java.lang.Math,1,1
jConstants3,Constants,ConstantInvocation,1,1
jConstants4,Constants,MultiplyExpression,0,2
jConstants4,Constants,PrivateAccessSpecifier,0,1
jConstants4,Constants,ExplicitTypeCasting,0,1
jConstants4,Constants,AddExpression,0,2
jConstants4,Constants,ConstructorDefinition,0,0.5
jConstants4,Constants,DoubleDataType,0,3.5
jConstants4,Constants,DivideExpression,0,1
jConstants4,Constants,ClassDefinition,0,0.5
jConstants4,Constants,ReturnStatement,0,0.5
jConstants4,Constants,SimpleAssignmentExpression,0,7.5
jConstants4,Constants,IntDataType,0,2
jConstants4,Constants,SubtractExpression,0,0.5
jConstants4,Constants,ExpressionStatement,0,3.5
jConstants4,Constants,MethodDefinition,0,1.5
jConstants4,Constants,SimpleVariable,0,3
jConstants4,Constants,PublicAccessSpecifier,0,4.5
jConstants4,Constants,FormalMethodParameter,0,1
jConstants4,Constants,VoidDataType,0,1
jConstants4,Constants,InstanceField,0,1
jConstants4,Constants,VariableInitializationStatement,0,3
jConstants4,Constants,StaticModifier,1,2
jConstants4,Constants,ClassConstantInitializationStatement,1,2
jConstants4,Constants,FinalModifier,1,2
jConstants4,Constants,ClassField,1,2
jConstants4,Constants,ConstantInvocation,1,1
jConstants5,Constants,InstanceField,0,1
jConstants5,Constants,VariableInitializationStatement,0,2
jConstants5,Constants,ActualMethodParameter,0,2
jConstants5,Constants,ObjectCreationStatement,0,1
jConstants5,Constants,MultiplyExpression,0,2
jConstants5,Constants,PrivateAccessSpecifier,0,1
jConstants5,Constants,AddExpression,0,2
jConstants5,Constants,ConstructorDefinition,0,0.5
jConstants5,Constants,DoubleDataType,0,4.5
jConstants5,Constants,ObjectVariable,0,1
jConstants5,Constants,ClassDefinition,0,0.5
jConstants5,Constants,ReturnStatement,0,0.5
jConstants5,Constants,SimpleAssignmentExpression,0,6.5
jConstants5,Constants,SubtractExpression,0,0.5
jConstants5,Constants,ExpressionStatement,0,3.5
jConstants5,Constants,MethodDefinition,0,1.5
jConstants5,Constants,ConstructorCall,0,1
jConstants5,Constants,SimpleVariable,0,2
jConstants5,Constants,PublicAccessSpecifier,0,4.5
jConstants5,Constants,FormalMethodParameter,0,1
jConstants5,Constants,ObjectMethodInvocation,0,3
jConstants5,Constants,VoidDataType,0,1
jConstants5,Constants,StaticModifier,1,2
jConstants5,Constants,ClassConstantInitializationStatement,1,2
jConstants5,Constants,FinalModifier,1,2
jConstants5,Constants,ClassField,1,2
jvariable1,Arithmetic_Operations,ExpressionStatement,0,1
jvariable1,Arithmetic_Operations,VariableInitializationStatement,0,1
jvariable1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jvariable1,Arithmetic_Operations,IntDataType,0,1
jvariable1,Arithmetic_Operations,SimpleVariable,0,1
jvariable1,Arithmetic_Operations,AddAssignmentExpression,1,1
jmath1,Arithmetic_Operations,AddExpression,0,1
jmath1,Arithmetic_Operations,DoubleDataType,0,1
jmath1,Arithmetic_Operations,VariableInitializationStatement,0,1
jmath1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jmath1,Arithmetic_Operations,SimpleVariable,0,1
jmath1,Arithmetic_Operations,java.lang.Math.sqrt,1,1
jmath2,Arithmetic_Operations,ExpressionStatement,0,1
jmath2,Arithmetic_Operations,VariableInitializationStatement,0,1
jmath2,Arithmetic_Operations,IntDataType,0,1
jmath2,Arithmetic_Operations,SimpleAssignmentExpression,0,1
jmath2,Arithmetic_Operations,ExplicitTypeCasting,0,1
jmath2,Arithmetic_Operations,SimpleVariable,0,1
jmath2,Arithmetic_Operations,java.lang.Math.pow,1,1
joperator1,Arithmetic_Operations,VariableInitializationStatement,0,1
joperator1,Arithmetic_Operations,IntDataType,0,1
joperator1,Arithmetic_Operations,SimpleAssignmentExpression,0,1
joperator1,Arithmetic_Operations,SimpleVariable,0,1
