rdfid,concept,tfidf,direction,content_type,topic_name,order
jSimpleVariableTest,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jSimpleVariableTest,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jSimpleVariableTest,IntDataType,0.448999177575103,outcome,question,Variables,10
jSimpleVariableTest,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jSimpleVariableTest,MultiplyExpression,0.763427993562937,outcome,question,Variables,10
jSimpleVariableTest,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jSimpleVariableTest,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jSimpleVariableTest,SimpleAssignmentExpression,0.0545318561802798,outcome,question,Variables,10
jSimpleVariableTest,SimpleVariable,0.531478917042255,outcome,question,Variables,10
jSimpleVariableTest,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jSimpleVariableTest,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jVariable1_rev,AddExpression,0.647523940447407,outcome,question,Variables,10
jVariable1_rev,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jVariable1_rev,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jVariable1_rev,IntDataType,0.224499588787552,outcome,question,Variables,10
jVariable1_rev,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jVariable1_rev,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jVariable1_rev,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jVariable1_rev,SimpleAssignmentExpression,0.0545318561802798,outcome,question,Variables,10
jVariable1_rev,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jVariable1_rev,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jvariables2,AddExpression,0.647523940447407,outcome,question,Variables,10
jvariables2,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jvariables2,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jvariables2,IntDataType,0.448999177575103,outcome,question,Variables,10
jvariables2,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jvariables2,MultiplyExpression,0.763427993562937,outcome,question,Variables,10
jvariables2,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jvariables2,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jvariables2,SimpleAssignmentExpression,0.0545318561802798,outcome,question,Variables,10
jvariables2,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jvariables2,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jprint_var,ActualMethodParameter,0.118815651329281,outcome,question,Variables,10
jprint_var,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jprint_var,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jprint_var,IntDataType,0.224499588787552,outcome,question,Variables,10
jprint_var,java.lang.System.out.print,0.929418925714293,outcome,question,Variables,10
jprint_var,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jprint_var,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jprint_var,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jprint_var,SimpleAssignmentExpression,0.0272659280901399,outcome,question,Variables,10
jprint_var,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jprint_var,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jVariable4_rev,ActualMethodParameter,0.118815651329281,outcome,question,Variables,10
jVariable4_rev,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jVariable4_rev,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jVariable4_rev,IntDataType,0.448999177575103,outcome,question,Variables,10
jVariable4_rev,java.lang.System.out.print,0.929418925714293,outcome,question,Variables,10
jVariable4_rev,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jVariable4_rev,MultiplyExpression,0.763427993562937,outcome,question,Variables,10
jVariable4_rev,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jVariable4_rev,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jVariable4_rev,SimpleAssignmentExpression,0.0545318561802798,outcome,question,Variables,10
jVariable4_rev,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jVariable4_rev,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jprintlnTest,ActualMethodParameter,0.118815651329281,outcome,question,Variables,10
jprintlnTest,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jprintlnTest,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jprintlnTest,IntDataType,0.224499588787552,outcome,question,Variables,10
jprintlnTest,java.lang.System.out.println,0.264712125058162,outcome,question,Variables,10
jprintlnTest,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jprintlnTest,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jprintlnTest,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jprintlnTest,SimpleAssignmentExpression,0.0272659280901399,outcome,question,Variables,10
jprintlnTest,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jprintlnTest,VoidDataType,0.0406005780140349,outcome,question,Variables,10
jprint_var_express2,ActualMethodParameter,0.118815651329281,outcome,question,Variables,10
jprint_var_express2,ClassDefinition,0.0263289387223491,outcome,question,Variables,10
jprint_var_express2,FormalMethodParameter,0.0435120602039102,outcome,question,Variables,10
jprint_var_express2,java.lang.System.out.print,0.929418925714293,outcome,question,Variables,10
jprint_var_express2,MethodDefinition,0.038670377077733,outcome,question,Variables,10
jprint_var_express2,PublicClassSpecifier,0.0634373200599912,outcome,question,Variables,10
jprint_var_express2,PublicMethodSpecifier,0.04156890505357,outcome,question,Variables,10
jprint_var_express2,SimpleAssignmentExpression,0.0272659280901399,outcome,question,Variables,10
jprint_var_express2,StaticMethodSpecifier,0.0706328961188937,outcome,question,Variables,10
jprint_var_express2,StringDataType,0.224499588787552,outcome,question,Variables,10
jprint_var_express2,StringInitializationStatement,1.12464519519966,outcome,question,Variables,10
