rdfid,concept,weight,direction,content_type,topic_name,order
SELECT-FROM_question1,Tuple,1,1,question,"Topic 1",1
SELECT-FROM_question1,AttributeColumn,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,Tuple,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,DomainType,1,1,question,"Topic 1",1
Arithmetic_Expressions_question2,FromClause,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,SingleAttributeSelection,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,DomainType,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,SelectStatement,1,0,question,"Topic 1",1
SELECT-FROM_question1,SelectStatement,1,1,question,"Topic 1",1
SELECT-FROM_question1,AllAttributeSelection,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,MultipleAttributeSelection,1,1,question,"Topic 1",1
Arithmetic_Expressions_question2,AttributeName,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,Tuple,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,SingleAttributeSelection,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,MultiplicationExpression,1,1,question,"Topic 1",1
SELECT-FROM_question1,Instance,1,1,question,"Topic 1",1
SELECT-FROM_question1,SelectClause,1,1,question,"Topic 1",1
SELECT-FROM_question1,SELECT-FROM,0.37,1,question,"Topic 1",1
Arithmetic_Expressions_question3,Multiplication,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,AttributeColumn,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,SelectStatement,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,Division,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,AttributeName,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,AttributeColumn,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,NumericType,1,1,question,"Topic 1",1
SELECT-FROM_question1,Column,1,1,question,"Topic 1",1
SELECT-FROM_question1,TupleRow,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,MultipleAttributeSelection,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,TupleRow,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,Instance,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,DivisionExpression,1,1,question,"Topic 1",1
Arithmetic_Expressions_question2,TupleRow,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,FromClause,1,0,question,"Topic 1",1
SELECT-FROM_question1,FromClause,1,1,question,"Topic 1",1
SELECT-FROM_question1,SingleTableSelection,1,1,question,"Topic 1",1
Arithmetic_Expressions_question3,SingleTableSelection,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,"Arithmetic Expressions",0.38,1,question,"Topic 1",1
Arithmetic_Expressions_question2,NumericType,1,1,question,"Topic 1",1
Arithmetic_Expressions_question2,SingleTableSelection,1,0,question,"Topic 1",1
Arithmetic_Expressions_question3,Instance,1,0,question,"Topic 1",1
Arithmetic_Expressions_question2,"Arithmetic Expressions",0.38,1,question,"Topic 1",1
TableCreation1,NotNullClause,1,0,example,"Table Creation",10
TableCreation1,FixedLengthCharacterString,1,0,example,"Table Creation",10
TableCreation1,SubQuery,1,1,example,"Table Creation",10
TableCreation1,AttributeName,1,0,example,"Table Creation",10
TableCreation1,DefaultValueClause,1,0,example,"Table Creation",10
TableCreation1,CommaCharacter,1,0,example,"Table Creation",10
TableCreation1,IntegrityConstraint,1,1,example,"Table Creation",10
TableCreation1,Double,1,0,example,"Table Creation",10
TableCreation1,AttributeSpecification,1,0,example,"Table Creation",10
TableCreation1,EquiJoin,1,1,example,"Table Creation",10
TableCreation1,CreateTableStatement,1,0,example,"Table Creation",10
TableCreation1,Integer,1,0,example,"Table Creation",10
TableCreation1,CreateTableClause,1,0,example,"Table Creation",10
TableCreation1,Float,1,0,example,"Table Creation",10
TableCreation1,NotNullConstraint,1,0,example,"Table Creation",10
TableCreation1,BracketCharacter,1,0,example,"Table Creation",10
TableCreation1,Rule,1,1,example,"Table Creation",10
TableDrop1,DeleteTableStatement,1,0,example,"Table Deletion and Alteration",30
TableAlteration2,AlterTableStatement,1,0,example,"Table Deletion and Alteration",30
TableAlteration1,Integer,1,0,example,"Table Deletion and Alteration",30
TableAlteration1,DatabaseDeletion,1,1,example,"Table Deletion and Alteration",30
TableAlteration2,AttributeName,1,0,example,"Table Deletion and Alteration",30
TableAlteration2,TableCreation,1,1,example,"Table Deletion and Alteration",30
TableAlteration1,AlterTableStatement,1,0,example,"Table Deletion and Alteration",30
