rdfid,topic_name
jwhile1,Loops_while
jwhile2,Loops_while
jinteger1,Primitive_Data_Types
jpri_string1,Strings
jpri_string1,Strings
jwhile3,Loops_while
jwhile4,Loops_while
jdouble1,Primitive_Data_Types
jdouble1,Arithmetic_Operations
jclass1,Classes
jclass1,Classes
jbankaccount,Classes
jbankaccount,Classes
jba_ques,Classes
jba_ques,Classes
jdowhile1,Loops_do_while
jdowhile2,Loops_do_while
jdowhile3,Loops_do_while
jdowhile4,Loops_do_while
jdowhile6,Loops_do_while
jdowhile8,Loops_do_while
jfor1,Loops_for
jfor2,Loops_for
jfor3,Loops_for
jfor4,Loops_for
jfor5,Loops_for
jnested_loops1,Nested_Loops
jnested2,Nested_Loops
jif_else1,Decisions
jif_else1,Boolean_Expressions
jif_else2,Decisions
jif_else3,Decisions
jif_else4,Decisions
jif_else5,Decisions
jif_else5,Decisions
jvariable1,Arithmetic_Operations
jvariable1,Arithmetic_Operations
jswitch1,Switch
jswitch1,Switch
jstring1,Strings
jstring1,Strings
jstring2,Strings
jstring2,Strings
jarray1,Arrays
jarray2,Arrays
jarraylist1,ArrayList
jarraylist2,ArrayList
jwrapper_class1,Wrapper_Classes
j2d_arrays1,Two-dimensional_Arrays
jarraylist3,ArrayList
jarray3,Arrays
jnested3,Nested_Loops
jarray4,Arrays
jstring3,Strings
jstring3,Strings
jstring4,Strings
jstring4,Strings
jstring5,Strings
jstring5,Strings
j2d_arrays2,Two-dimensional_Arrays
jarray5,Arrays
jmath1,Arithmetic_Operations
jmath1,Arithmetic_Operations
jmath2,Arithmetic_Operations
jmath2,Arithmetic_Operations
joperator1,Arithmetic_Operations
joperator1,Arithmetic_Operations
jincrement,Arithmetic_Operations
jincrement,Arithmetic_Operations
jswitch2,Switch
jswitch2,Switch
j2d_arrays3,Two-dimensional_Arrays
j2d_arrays4,Two-dimensional_Arrays
jvariables1,Variables
jvariables2,Variables
jvariables2,Variables
jprint_var,Variables
jprint_var,Variables
jprint_var_express,Variables
jprint_var_express2,Variables
jprint_var_express2,Variables
jobject_rec1,Objects
jobject_rec1,Objects
jobject_rec2,Objects
jobject_rec2,Objects
jobject_translate,Objects
jobject_translate,Objects
jobject_string1,Objects
jobject_string2,Objects
jclasses_constructor,Classes
jclasses_constructor,Classes
jint_long,Primitive_Data_Types
jint_long,Arithmetic_Operations
jpri_float,Primitive_Data_Types
jstring_int,Primitive_Data_Types
jstring_int,Strings
jstring_double,Primitive_Data_Types
jstring_double,Strings
jConstants1,Constants
jConstants2,Constants
jConstants2,Constants
jstring6,Strings
jstring6,Strings
jswitch3,Switch
jswitch3,Switch
jboolean_var,Boolean_Expressions
jboolean_var,Boolean_Expressions
jboolean_method,Boolean_Expressions
jboolean_method,Boolean_Expressions
jboolean_operators1,Boolean_Expressions
jboolean_operators1,Boolean_Expressions
jboolean_operators2,Boolean_Expressions
jboolean_operator3,Boolean_Expressions
jboolean_operator3,Boolean_Expressions
jclasses_getter,Classes
jclasses_getter,Classes
jwhile5,Loops_while
jwrapper_class2,Wrapper_Classes
jwrapper_class3,Wrapper_Classes
jInheritance1,Inheritance
jInheritance2,Inheritance
jInheritance3,Inheritance
jInheritance4,Inheritance
jInheritance5,Inheritance
jInheritance6,Inheritance
jExceptions1,Exceptions
jExceptions2,Exceptions
jExceptions3,Exceptions
jExceptions4,Exceptions
jExceptions5,Exceptions
jInterfaces1,Interfaces
jInterfaces2,Interfaces
jInterfaces3,Interfaces
jInterfaces4,Interfaces
jInterfaces5,Interfaces
jConstants3,Constants
jConstants3,Arithmetic_Operations
jConstants4,Constants
jConstants5,Constants
jwrapper_class4,Wrapper_Classes
jarraylist4,ArrayList
jarraylist5,ArrayList
jwhile1,Loops_while
jwhile1,Loops_while
jwhile2,Loops_while
jwhile2,Loops_while
jinteger1,Primitive_Data_Types
jpri_string1,Strings
jpri_string1,Strings
jwhile3,Loops_while
jwhile3,Loops_while
jwhile4,Loops_while
jwhile4,Loops_while
jdouble1,Arithmetic_Operations
jdouble1,Primitive_Data_Types
jclass1,Classes
jclass1,Classes
jbankaccount,Classes
jbankaccount,Classes
jba_ques,Classes
jba_ques,Classes
jdowhile1,Loops_do_while
jdowhile1,Loops_do_while
jdowhile2,Loops_do_while
jdowhile2,Loops_do_while
jdowhile3,Loops_do_while
jdowhile3,Loops_do_while
jdowhile6,Loops_do_while
jdowhile6,Loops_do_while
jdowhile8,Loops_do_while
jdowhile8,Loops_do_while
jfor1,Loops_for
jfor1,Loops_for
jfor2,Loops_for
jfor2,Loops_for
jfor3,Loops_for
jfor3,Loops_for
jnested_loops1,Nested_Loops
jnested_loops1,Nested_Loops
jnested2,Nested_Loops
jnested2,Nested_Loops
jif_else1,Boolean_Expressions
jif_else5,Decisions
jvariable1,Arithmetic_Operations
jvariable1,Arithmetic_Operations
jswitch1,Switch
jstring1,Strings
jstring1,Strings
jstring2,Strings
jstring2,Strings
jarray1,Arrays
jarray1,Arrays
jarray2,Arrays
jarray2,Arrays
jarraylist1,ArrayList
jarraylist1,ArrayList
jarraylist2,ArrayList
jarraylist2,ArrayList
jwrapper_class1,Wrapper_Classes
jwrapper_class1,Wrapper_Classes
j2d_arrays1,Two-dimensional_Arrays
j2d_arrays1,Two-dimensional_Arrays
jarraylist3,ArrayList
jarraylist3,ArrayList
jarray3,Arrays
jarray3,Arrays
jarray4,Arrays
jarray4,Arrays
jstring3,Strings
jstring3,Strings
jstring4,Strings
jstring5,Strings
j2d_arrays2,Two-dimensional_Arrays
j2d_arrays2,Two-dimensional_Arrays
jarray5,Arrays
jarray5,Arrays
jmath1,Arithmetic_Operations
jmath1,Arithmetic_Operations
jmath2,Arithmetic_Operations
jmath2,Arithmetic_Operations
joperator1,Arithmetic_Operations
joperator1,Arithmetic_Operations
jincrement,Arithmetic_Operations
jincrement,Arithmetic_Operations
jswitch2,Switch
j2d_arrays3,Two-dimensional_Arrays
j2d_arrays3,Two-dimensional_Arrays
j2d_arrays4,Two-dimensional_Arrays
j2d_arrays4,Two-dimensional_Arrays
jvariables1,Variables
jvariables2,Variables
jvariables2,Variables
jprint_var,Variables
jprint_var,Variables
jprint_var_express,Variables
jprint_var_express2,Variables
jprint_var_express2,Variables
jobject_rec1,Objects
jobject_rec1,Objects
jobject_rec2,Objects
jobject_rec2,Objects
jobject_translate,Objects
jobject_translate,Objects
jobject_string1,Objects
jobject_string2,Objects
jclasses_constructor,Classes
jclasses_constructor,Classes
jint_long,Arithmetic_Operations
jint_long,Primitive_Data_Types
jpri_float,Primitive_Data_Types
jstring_int,Strings
jstring_int,Primitive_Data_Types
jstring_double,Strings
jstring_double,Primitive_Data_Types
jConstants1,Constants
jConstants2,Constants
jConstants2,Constants
jstring6,Strings
jswitch3,Switch
jboolean_var,Boolean_Expressions
jboolean_method,Boolean_Expressions
jboolean_operators1,Boolean_Expressions
jboolean_operator3,Boolean_Expressions
jclasses_getter,Classes
jclasses_getter,Classes
jwrapper_class2,Wrapper_Classes
jwrapper_class2,Wrapper_Classes
jwrapper_class3,Wrapper_Classes
jwrapper_class3,Wrapper_Classes
jInheritance1,Inheritance
jInheritance1,Inheritance
jInheritance2,Inheritance
jInheritance2,Inheritance
jInheritance3,Inheritance
jInheritance3,Inheritance
jInheritance4,Inheritance
jInheritance4,Inheritance
jInheritance5,Inheritance
jInheritance5,Inheritance
jInheritance6,Inheritance
jInheritance6,Inheritance
jExceptions1,Exceptions
jExceptions1,Exceptions
jExceptions2,Exceptions
jExceptions2,Exceptions
jExceptions3,Exceptions
jExceptions3,Exceptions
jExceptions4,Exceptions
jExceptions4,Exceptions
jExceptions5,Exceptions
