rdfid,topic_name
variables1_v2,Variables
variables2_v2,Variables
HelloWorld2_v2,Variables
CreateObjectDemo_v2,Objects
Rectangle_v2,Objects
Point_v2,Objects
Bicycle_v2,Classes
PrimitiveDataTypes_v2,Primitive_Data_Types
TypeCasting_v2,Primitive_Data_Types
Constants_v2,Constants
constant_v2,Constants
arithmetic_v2,Arithmetic_Operations
increment_v2,Arithmetic_Operations
MathFunction_v2,Arithmetic_Operations
OperatorExample_v2,Arithmetic_Operations
CreateString_v2,Strings
substring_v2,Strings
string_length_v2,Strings
Decision_If_v2,Decisions
ifelse2_v2,Decisions
string_comparison_v2,Decisions
logical_operators_v2,Decisions
boolean_declaration_v2,Boolean_Expressions
boolean_expression_v2,Boolean_Expressions
boolean_operators_v2,Boolean_Expressions
while_v2,Loops_while
do_while_v2,Loops_do_while
for1_v2,Loops_for
nested_loops_v2,Nested_Loops
nested_loops2_v2,Nested_Loops
array_declaration_v2,Arrays
using_array_v2,Arrays
use_array_v2,Arrays
arraylist1_v2,ArrayList
arraylist2_v2,ArrayList
wrapper_class_v2,Wrapper_Classes
create_2d_array_v2,Two-dimensional_Arrays
use_2darray_v2,Two-dimensional_Arrays
jeg_interface1_v2,Interfaces
imple_multi_v2,Interfaces
inheritance1_v2,Inheritance
override_v2,Inheritance
jinteger1,Primitive_Data_Types
jdouble1,Primitive_Data_Types
jclass1,Classes
jbankaccount,Classes
jba_ques,Classes
jvariables1,Variables
jvariables2,Variables
jprint_var,Variables
jprint_var_express,Variables
jprint_var_express2,Variables
jobject_rec1,Objects
jobject_rec2,Objects
jobject_translate,Objects
jobject_string1,Objects
jobject_string2,Objects
jclasses_constructor,Classes
jint_long,Primitive_Data_Types
jpri_float,Primitive_Data_Types
jstring_int,Primitive_Data_Types
jstring_double,Primitive_Data_Types
jConstants1,Constants
jConstants2,Constants
jclasses_getter,Classes
jConstants3,Constants
jConstants4,Constants
jConstants5,Constants
jif_else1,Decisions
jif_else2,Decisions
jif_else3,Decisions
jif_else4,Decisions
jif_else5,Decisions
jvariable1,Arithmetic_Operations
jstring1,Strings
jstring2,Strings
jstring3,Strings
jstring4,Strings
jstring5,Strings
jmath1,Arithmetic_Operations
jmath2,Arithmetic_Operations
joperator1,Arithmetic_Operations
jincrement,Arithmetic_Operations
jstring6,Strings
jwhile1,Loops_while
jwhile2,Loops_while
jwhile3,Loops_while
jwhile4,Loops_while
jswitch1,Switch
jswitch2,Switch
jswitch3,Switch
jboolean_var,Boolean_Expressions
jboolean_method,Boolean_Expressions
jboolean_operators1,Boolean_Expressions
jboolean_operators2,Boolean_Expressions
jboolean_operator3,Boolean_Expressions
jwhile5,Loops_while
jdowhile1,Loops_do_while
jdowhile2,Loops_do_while
jdowhile3,Loops_do_while
jdowhile4,Loops_do_while
jdowhile6,Loops_do_while
jdowhile8,Loops_do_while
jfor1,Loops_for
jfor2,Loops_for
jfor3,Loops_for
jfor4,Loops_for
jfor5,Loops_for
jnested_loops1,Nested_Loops
jnested2,Nested_Loops
jarray1,Arrays
jarray2,Arrays
jarray3,Arrays
jnested3,Nested_Loops
jarray4,Arrays
jarray5,Arrays
jarraylist1,ArrayList
jarraylist2,ArrayList
jwrapper_class1,Wrapper_Classes
j2d_arrays1,Two-dimensional_Arrays
jarraylist3,ArrayList
j2d_arrays2,Two-dimensional_Arrays
j2d_arrays3,Two-dimensional_Arrays
j2d_arrays4,Two-dimensional_Arrays
jwrapper_class2,Wrapper_Classes
jwrapper_class3,Wrapper_Classes
jInheritance1,Inheritance
jInheritance2,Inheritance
jInterfaces1,Interfaces
jInterfaces2,Interfaces
jInterfaces3,Interfaces
jInterfaces4,Interfaces
jInterfaces5,Interfaces
jwrapper_class4,Wrapper_Classes
jarraylist4,ArrayList
jarraylist5,ArrayList
jInheritance3,Inheritance
jInheritance4,Inheritance
jInheritance5,Inheritance
jInheritance6,Inheritance
jExceptions1,Exceptions
jExceptions2,Exceptions
jExceptions3,Exceptions
jExceptions4,Exceptions
jExceptions5,Exceptions
